t,x_m,theta,v_m_s,thetadot,u_pwm
1764425657.9929042,0.160625,0.15,0.0273046875,0.0,10
1764425658.0029054,0.16078125000000001,0.15,0.0166015625,0.0,8
1764425658.012905,0.1608203125,0.14,0.00609375,-0.077,13
1764425658.022909,0.1608203125,0.14,0.0015234375,-0.173,17
1764425658.0334811,0.160859375,0.14,0.00234375,-0.043,11
1764425658.0434816,0.16105468750000002,0.14,0.0162109375,-0.011,12
1764425658.053481,0.1612890625,0.14,0.021640625,-0.079,17
1764425658.0634816,0.161484375,0.14,0.021015625,-0.02,14
1764425658.0739179,0.161796875,0.14,0.030664062500000002,-0.005,15
1764425658.0839136,0.1619921875,0.14,0.03484375,-0.002,16
1764425658.0939028,0.16273437500000001,0.14,0.048320312500000004,-0.0,19
1764425658.1039033,0.163046875,0.14,0.055390625,-0.0,21
1764425658.113903,0.1641015625,0.14,0.070390625,0.038,23
1764425658.1239035,0.1648828125,0.14,0.0781640625,0.01,27
1764425658.1339061,0.1658203125,0.14,0.091796875,0.079,27
1764425658.1444855,0.1663671875,0.15,0.1005859375,0.193,19
1764425658.154486,0.16765625,0.15,0.120859375,0.202,23
1764425658.1644857,0.16953125,0.15,0.1205859375,0.217,23
1764425658.174501,0.170625,0.15,0.1121875,0.208,22
1764425658.1843853,0.1716015625,0.15,0.1003125,0.205,19
1764425658.194911,0.17203125,0.15,0.093125,0.103,24
1764425658.2054853,0.17347656250000001,0.15,0.0946484375,0.051,28
1764425658.215485,0.174375,0.16,0.090078125,0.089,20
1764425658.2254856,0.1753125,0.16,0.094765625,0.176,17
1764425658.2354865,0.176484375,0.16,0.1116015625,0.197,20
1764425658.2455714,0.1775,0.16,0.102109375,0.203,18
1764425658.2559116,0.178203125,0.16,0.07828125,0.051,21
1764425658.2659428,0.1787890625,0.16,0.0625390625,0.013,20
1764425658.2765012,0.179375,0.16,0.060546875,0.003,20
1764425658.2865255,0.1801171875,0.16,0.071796875,0.001,23
1764425658.2965088,0.18085937500000002,0.16,0.0726171875,0.077,19
1764425658.306508,0.181171875,0.16,0.067578125,0.038,20
1764425658.3164892,0.1823828125,0.16,0.080703125,0.158,17
1764425658.326488,0.18324218750000001,0.16,0.0846484375,0.04,26
1764425658.336488,0.183671875,0.16,0.08527343750000001,0.02,27
1764425658.3464901,0.1848046875,0.17,0.07609375,0.041,19
1764425658.3564892,0.1858203125,0.17,0.0971484375,0.164,18
1764425658.36693,0.186953125,0.17,0.10828125,0.194,19
1764425658.377498,0.1878125,0.17,0.0876171875,0.049,23
1764425658.3879051,0.18812500000000001,0.17,0.0750390625,0.024,21
1764425658.397907,0.1886328125,0.17,0.055859375,0.006,18
1764425658.4079058,0.18921875,0.17,0.05890625,0.155,10
1764425658.4178946,0.19035156250000002,0.17,0.071796875,0.019,22
1764425658.427894,0.190859375,0.17,0.055078125,0.082,14
1764425658.437931,0.191015625,0.17,0.025468750000000002,0.02,10
1764425658.447894,0.19132812500000002,0.17,0.0317578125,0.005,13
1764425658.4578922,0.1915625,0.17,0.0235546875,0.001,11
1764425658.4678938,0.191640625,0.17,0.011757812500000001,0.0,8
1764425658.4778924,0.191640625,0.17,0.0029296875,-0.077,11
1764425658.4884725,0.1916796875,0.17,0.0046484375,-0.019,8
1764425658.4984715,0.19171875,0.17,0.005078125,-0.005,7
1764425658.508894,0.19171875,0.17,0.00125,-0.001,6
1764425658.518895,0.19171875,0.17,0.0003125,0.153,-2
1764425658.5288928,0.19171875,0.17,7.8125e-05,0.038,4
1764425658.5388913,0.19171875,0.17,3.90625e-05,0.01,5
1764425658.5494926,0.1916796875,0.17,-0.001953125,0.156,-33
1764425658.559905,0.1916796875,0.17,-0.0009765625,0.078,-29
1764425658.5699046,0.19160156250000002,0.17,-0.007929687500000001,0.01,-27
1764425658.5799046,0.1905859375,0.17,-0.0840234375,-0.151,-36
1764425658.5895257,0.188984375,0.17,-0.1440625,-0.421,-36
1764425658.599484,0.1853515625,0.16,-0.18671875000000002,-0.544,-36
1764425658.611487,0.18328125,0.15,-0.2029296875,-0.52,-38
1764425658.621489,0.181171875,0.15,-0.2089453125,-0.59,-37
1764425658.6318944,0.1788671875,0.14,-0.22605468750000002,-0.608,-36
1764425658.6414733,0.176484375,0.13,-0.2362109375,-0.612,-36
1764425658.6524725,0.1741015625,0.13,-0.23679687500000002,-0.767,-29
1764425658.6618938,0.17179687500000002,0.12,-0.2310546875,-0.498,-38
1764425658.6718962,0.16957031250000001,0.12,-0.2237890625,-0.662,-29
1764425658.6818979,0.16734375,0.11,-0.225859375,-0.626,-29
1764425658.6924758,0.1651953125,0.1,-0.2146875,-0.617,-24
1764425658.7024736,0.163359375,0.1,-0.19234375,-0.614,-20
1764425658.7124894,0.161875,0.09,-0.1574609375,-0.46,-17
1764425658.7224896,0.160703125,0.09,-0.1253125,-0.499,-7
1764425658.7324758,0.159765625,0.08,-0.0996875,-0.355,-6
1764425658.7424743,0.159296875,0.08,-0.056171875,-0.165,-6
1764425658.752473,0.1592578125,0.08,-0.0319921875,-0.236,5
1764425658.762474,0.159296875,0.08,-0.0030078125,-0.03,-1
1764425658.7724974,0.15937500000000002,0.08,0.0051171875,-0.007,31
1764425658.7829218,0.1594140625,0.08,0.0064453125000000005,-0.004,31
1764425658.792921,0.1595703125,0.08,0.0172265625,-0.001,33
1764425658.803501,0.16140625,0.09,0.1193359375,0.345,36
1764425658.8135,0.1631640625,0.09,0.164609375,0.47,41
1764425658.8234985,0.1653125,0.1,0.2032421875,0.424,52
1764425658.8334756,0.1677734375,0.1,0.2383203125,0.72,42
1764425658.8434803,0.1706640625,0.11,0.2822265625,0.64,59
1764425658.8534982,0.17375000000000002,0.12,0.301015625,0.85,45
1764425658.8634896,0.1771484375,0.13,0.3350390625,0.903,49
1764425658.8734887,0.180703125,0.14,0.349375,0.916,49
