x,theta,v,thetadot
<-21,2.85,0,-0.047>
<-21,2.85,0,-0.242>
<-21,2.86,0,-0.291>
<-21,2.86,0,-0.456>
<-21,2.87,0,-0.421>
<-21,2.87,0,-0.642>
<-21,2.88,0,-0.621>
<-21,2.89,0,-0.845>
<-21,2.90,0,-0.902>
<-21,2.91,0,-1.069>
<-21,2.91,0,-0.995>
<-21,2.93,0,-1.198>
<-21,2.94,0,-1.059>
<-21,2.96,0,-1.245>
<-21,2.97,0,-1.385>
<-21,2.99,0,-1.420>
<-21,2.99,0,-1.477>
<-21,3.01,0,-1.450>
<-21,3.03,0,-1.513>
<-21,3.04,0,-1.524>
<-21,3.06,0,-1.571>
<-21,3.08,0,-1.697>
<-21,3.09,0,-1.575>
<-21,3.11,0,-1.621>
<-21,3.12,0,-1.577>
<-21,3.14,0,-1.578>
<-21,3.16,0,-1.698>
<-21,3.17,0,-1.616>
<-21,3.19,0,-1.544>
